,score,param,fun_name
13,0.6211584260937094,0.2,com
14,0.6650032358270775,0.3,com
15,0.6299323712140824,0.4,com
16,0.5455038182759512,0.5,com
17,0.5983723789800676,0.6,com
18,0.5974171628268186,0.7,com
19,0.602290641988092,0.8,com
20,0.6259018250064714,0.9,com
21,0.6403106393994303,1.0,com
22,0.5716878074035724,1.1,com
23,0.5494987703857105,1.2,com
24,0.5788512813875224,1.3,com
25,0.5777080636810767,1.4,com
26,0.5461771938907585,1.5,com
27,0.5749462852705151,1.6,com
28,0.5504329536629562,1.7,com
29,0.49582513590473726,1.8,com
30,0.5239525627750452,1.9,com
31,0.5442272844939167,2.0,com
32,0.5488658426093712,2.1,com
33,0.5903281128656485,2.2,com
34,0.590007442402278,2.3,com
35,0.5626831478125809,2.4,com
36,0.5339470618690138,2.5,com
37,0.5378763266891018,2.6,com
38,0.5513318664250582,2.7,com
39,0.560638428682371,2.8,com
40,0.542550802485115,2.9,com
41,0.5204562516179135,3.0,com
42,0.5098611830183796,3.1,com
43,0.5265567564069376,3.2,com
44,0.5239845974631115,3.3,com
45,0.5201941496246439,3.4,com
46,0.5251213435154025,3.5,com
47,0.5219217577012686,3.6,com
48,0.5737830054361895,3.7,com
49,0.6092120761066527,3.8,com
50,0.5760458193114159,3.9,com
51,0.5541505953921825,4.0,com
52,0.5627970489257055,4.1,com
53,0.5405387652083874,4.2,com
54,0.5505915091897488,4.3,com
55,0.5158510225213564,4.4,com
56,0.5106170722236605,4.5,com
57,0.5177190654931401,4.6,com
58,0.5125187677970487,4.7,com
59,0.5312762101993267,4.8,com
60,0.5283202821641211,4.9,com
61,0.5118046207610666,5.0,com
62,0.650795689878333,2.0,span
63,0.6150799249288117,3.0,span
64,0.6437296142894121,4.0,span
65,0.6700035594097851,5.0,span
66,0.6459623349728189,6.0,span
67,0.6348750970748122,7.0,span
68,0.6362046984209164,8.0,span
69,0.558837043748382,9.0,span
70,0.5798896582966608,10.0,span
71,0.6003242298731558,11.0,span
72,0.5727595133316076,12.0,span
73,0.6198223530934507,13.0,span
74,0.632083872637846,14.0,span
75,0.6122349857623608,15.0,span
76,0.5850378591768054,16.0,span
77,0.610659785141082,17.0,span
78,0.6118130339114678,18.0,span
79,0.633700168263008,19.0,span
80,0.5631468418327724,20.0,span
81,0.5854617525239452,21.0,span
82,0.5459128268185348,22.0,span
83,0.5365269867978256,23.0,span
84,0.5363810509966348,24.0,span
85,0.5656161014755372,25.0,span
86,0.5791936318923119,26.0,span
87,0.5871958322547242,27.0,span
88,0.564324035723531,28.0,span
89,0.5252284493916648,29.0,span
90,0.5434807791871602,30.0,span
91,0.5441395935801189,31.0,span
92,0.554452174475796,32.0,span
93,0.5384115324877038,33.0,span
94,0.5262140823194407,34.0,span
95,0.4962661791353869,35.0,span
96,0.5093227413927001,36.0,span
97,0.5232487703857103,37.0,span
98,0.5521573259125033,38.0,span
99,0.5224650530675641,39.0,span
100,0.5020968159461558,40.0,span
101,0.5410642635257571,41.0,span
102,0.5350980455604453,42.0,span
103,0.5333458451980327,43.0,span
104,0.5527776339632411,44.0,span
105,0.557165091897489,45.0,span
106,0.5639845974631116,46.0,span
107,0.5514888040383122,47.0,span
108,0.5376954439554751,48.0,span
109,0.529769932694797,49.0,span
110,0.5571968030028475,50.0,span
111,0.7273495340409006,0.2,halflife
112,0.6669890629044786,0.3,halflife
113,0.6231487833290188,0.4,halflife
114,0.6532225601863837,0.5,halflife
115,0.6157180300284752,0.6,halflife
116,0.5891221201139012,0.7,halflife
117,0.6008319311416002,0.8,halflife
118,0.5911801061351281,0.9,halflife
119,0.6158794977996377,1.0,halflife
120,0.57221362930365,1.1,halflife
121,0.531422469583225,1.2,halflife
122,0.5857694796790057,1.3,halflife
123,0.5507028216412114,1.4,halflife
124,0.5439250582448873,1.5,halflife
125,0.5031478125808956,1.6,halflife
126,0.5475287988609889,1.7,halflife
127,0.5318868107688326,1.8,halflife
128,0.5569117266373287,1.9,halflife
129,0.5887118172404867,2.0,halflife
130,0.5207568599534041,2.1,halflife
131,0.5870508672016568,2.2,halflife
132,0.5468699844680303,2.3,halflife
133,0.5226886487186124,2.4,halflife
134,0.5452494822676679,2.5,halflife
135,0.5484115324877039,2.6,halflife
136,0.5582238545172145,2.7,halflife
137,0.5436869013719907,2.8,halflife
138,0.567414250582449,2.9,halflife
139,0.5830022003624125,3.0,halflife
140,0.546714341185607,3.1,halflife
141,0.5471278798860988,3.2,halflife
142,0.528469777375097,3.3,halflife
143,0.5098831866425058,3.4,halflife
144,0.5278539994822675,3.5,halflife
145,0.559061610147554,3.6,halflife
146,0.5379976702045041,3.7,halflife
147,0.4948362671498836,3.8,halflife
148,0.511894900336526,3.9,halflife
149,0.5195596039347659,4.0,halflife
150,0.5286370696349987,4.1,halflife
151,0.526490421951851,4.2,halflife
152,0.5513451333160756,4.3,halflife
153,0.5449682888946414,4.4,halflife
154,0.57693728967124,4.5,halflife
155,0.5454122443696608,4.6,halflife
156,0.5821670333937355,4.7,halflife
157,0.5582180300284754,4.8,halflife
158,0.5654808439037018,4.9,halflife
159,0.5515968806626975,5.0,halflife
160,0.5920871084649237,0.02,alpha
161,0.5559749546984206,0.03,alpha
162,0.552483820864613,0.04,alpha
163,0.48445767538182755,0.05,alpha
164,0.5600718353611185,0.06,alpha
165,0.5906303391146779,0.07,alpha
166,0.5717712917421693,0.08,alpha
167,0.5003442920010355,0.09,alpha
168,0.5580788894641471,0.1,alpha
169,0.5302310380533264,0.11,alpha
170,0.5571955086720167,0.12,alpha
171,0.5633678488221591,0.13,alpha
172,0.5189104970230389,0.14,alpha
173,0.5633121925964275,0.15,alpha
174,0.5500715117784105,0.16,alpha
175,0.5546204374838208,0.17,alpha
176,0.5018068858400208,0.18,alpha
177,0.5290389593580119,0.19,alpha
178,0.5214282940719649,0.2,alpha
179,0.5479892570541031,0.21,alpha
180,0.5484493916645095,0.22,alpha
181,0.57315007765985,0.23,alpha
182,0.5362817111053585,0.24,alpha
183,0.5482057338855814,0.25,alpha
184,0.589998705669169,0.26,alpha
185,0.6218473336784883,0.27,alpha
186,0.611377168004142,0.28,alpha
187,0.6218570411597202,0.29,alpha
188,0.5799203986538957,0.3,alpha
189,0.619632733626715,0.31,alpha
190,0.5985319052549832,0.32,alpha
191,0.5820227155060832,0.33,alpha
192,0.5807549184571577,0.34,alpha
193,0.561025433600828,0.35,alpha
194,0.5659303002847529,0.36,alpha
195,0.5499019544395546,0.37,alpha
196,0.6342573776857366,0.38,alpha
197,0.6640489904219519,0.39,alpha
198,0.6193890758477867,0.4,alpha
199,0.6429255112606779,0.41,alpha
200,0.6511930494434378,0.42,alpha
201,0.6684911338338081,0.43,alpha
202,0.6410276986797828,0.44,alpha
203,0.6550394770903442,0.45,alpha
204,0.6194499093968419,0.46,alpha
205,0.6141373285011649,0.47,alpha
206,0.647174152213306,0.48,alpha
207,0.655285076365519,0.49,alpha
208,0.6944512037276727,0.5,alpha
